date,location_name,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,windspeed_10m_max,et0_fao_evapotranspiration
2015-01-01,Trans Nzoia (Kitale),22.9,11.4,17.3,0.0,0.0,12.3,3.46
2015-01-02,Trans Nzoia (Kitale),23.1,14.8,18.9,0.0,0.0,16.1,3.28
2015-01-03,Trans Nzoia (Kitale),23.8,13.9,19.5,0.0,0.0,11.9,4.09
2015-01-04,Trans Nzoia (Kitale),23.7,15.2,19.2,0.0,0.0,18.7,4.09
2015-01-05,Trans Nzoia (Kitale),23.1,12.4,17.6,0.0,0.0,10.3,3.71
2015-01-06,Trans Nzoia (Kitale),25.4,14.1,19.9,0.0,0.0,12.6,3.81
2015-01-07,Trans Nzoia (Kitale),24.4,13.4,19.5,0.0,0.0,10.6,3.8
2015-01-08,Trans Nzoia (Kitale),25.4,14.7,19.5,0.0,0.0,15.4,3.86
2015-01-09,Trans Nzoia (Kitale),23.8,12.7,19.6,0.0,0.0,9.1,4.0
2015-01-10,Trans Nzoia (Kitale),26.4,14.6,20.0,0.0,0.0,15.8,3.92
2015-01-11,Trans Nzoia (Kitale),27.1,16.5,21.3,0.1,0.1,20.1,3.86
2015-01-12,Trans Nzoia (Kitale),22.6,12.6,18.2,0.0,0.0,14.8,3.32
2015-01-13,Trans Nzoia (Kitale),24.5,12.3,19.0,0.0,0.0,13.9,3.54
2015-01-14,Trans Nzoia (Kitale),25.1,14.4,20.9,0.0,0.0,8.6,4.54
2015-01-15,Trans Nzoia (Kitale),24.4,12.6,17.5,0.0,0.0,15.5,3.81
2015-01-16,Trans Nzoia (Kitale),26.1,15.3,19.4,0.0,0.0,13.8,2.67
2015-01-17,Trans Nzoia (Kitale),22.2,11.5,18.3,0.0,0.0,9.0,3.97
2015-01-18,Trans Nzoia (Kitale),25.3,13.1,19.1,0.0,0.0,15.6,3.37
2015-01-19,Trans Nzoia (Kitale),25.3,14.2,19.6,0.0,0.0,15.2,3.91
2015-01-20,Trans Nzoia (Kitale),23.8,12.7,17.0,0.0,0.0,13.0,3.37
2015-01-21,Trans Nzoia (Kitale),23.6,12.3,18.1,0.0,0.0,11.1,4.25
2015-01-22,Trans Nzoia (Kitale),22.4,11.8,17.7,0.0,0.0,7.8,4.06
2015-01-23,Trans Nzoia (Kitale),24.5,12.8,19.0,0.0,0.0,13.9,3.79
2015-01-24,Trans Nzoia (Kitale),23.8,13.6,18.5,0.0,0.0,11.7,3.36
2015-01-25,Trans Nzoia (Kitale),26.3,16.2,21.0,0.0,0.0,12.0,4.36
2015-01-26,Trans Nzoia (Kitale),24.0,12.3,18.7,0.0,0.0,11.0,4.41
2015-01-27,Trans Nzoia (Kitale),27.3,15.6,21.3,0.0,0.0,15.3,3.97
2015-01-28,Trans Nzoia (Kitale),24.5,14.2,19.0,0.0,0.0,14.1,3.02
2015-01-29,Trans Nzoia (Kitale),23.8,15.1,19.8,0.0,0.0,12.1,3.26
2015-01-30,Trans Nzoia (Kitale),25.1,13.4,19.5,0.0,0.0,19.9,3.77
2015-01-31,Trans Nzoia (Kitale),26.1,13.2,19.5,0.0,0.0,13.6,3.29
2015-02-01,Trans Nzoia (Kitale),24.9,12.6,18.3,0.0,0.0,8.4,3.73
2015-02-02,Trans Nzoia (Kitale),25.1,15.0,20.0,0.7,0.7,10.2,3.61
2015-02-03,Trans Nzoia (Kitale),26.7,13.6,20.1,0.0,0.0,12.2,3.99
2015-02-04,Trans Nzoia (Kitale),26.5,13.7,19.9,0.0,0.0,12.2,4.17
2015-02-05,Trans Nzoia (Kitale),27.2,14.3,20.4,0.0,0.0,17.6,2.92
2015-02-06,Trans Nzoia (Kitale),23.6,13.9,18.8,0.0,0.0,16.4,3.42
2015-02-07,Trans Nzoia (Kitale),25.5,15.4,19.4,0.0,0.0,10.8,3.2
2015-02-08,Trans Nzoia (Kitale),23.3,14.4,19.1,0.0,0.0,11.3,4.07
2015-02-09,Trans Nzoia (Kitale),22.8,13.6,18.0,0.0,0.0,16.2,3.46
2015-02-10,Trans Nzoia (Kitale),25.9,14.4,20.3,0.0,0.0,14.7,4.25
2015-02-11,Trans Nzoia (Kitale),23.5,13.1,19.2,0.0,0.0,16.2,4.08
2015-02-12,Trans Nzoia (Kitale),24.9,13.5,19.9,0.0,0.0,21.2,3.49
2015-02-13,Trans Nzoia (Kitale),29.0,17.4,22.5,0.0,0.0,11.3,4.18
2015-02-14,Trans Nzoia (Kitale),24.3,15.5,20.3,0.0,0.0,12.8,4.4
2015-02-15,Trans Nzoia (Kitale),25.3,13.8,20.2,0.0,0.0,15.6,3.95
2015-02-16,Trans Nzoia (Kitale),26.9,15.7,21.3,0.1,0.1,11.4,4.06
2015-02-17,Trans Nzoia (Kitale),26.4,15.8,21.5,0.0,0.0,15.2,2.95
2015-02-18,Trans Nzoia (Kitale),28.1,16.4,22.1,0.0,0.0,9.7,4.48
2015-02-19,Trans Nzoia (Kitale),23.8,13.0,19.6,0.0,0.0,15.9,3.32
2015-02-20,Trans Nzoia (Kitale),28.2,17.5,22.2,0.0,0.0,22.6,4.61
2015-02-21,Trans Nzoia (Kitale),24.3,14.1,20.1,0.0,0.0,21.5,3.57
2015-02-22,Trans Nzoia (Kitale),22.9,14.6,19.0,0.0,0.0,15.9,3.14
2015-02-23,Trans Nzoia (Kitale),26.1,13.4,19.3,0.0,0.0,18.7,3.06
2015-02-24,Trans Nzoia (Kitale),27.9,15.7,21.6,0.0,0.0,12.1,3.48
2015-02-25,Trans Nzoia (Kitale),26.7,15.0,21.2,0.0,0.0,14.5,4.34
2015-02-26,Trans Nzoia (Kitale),28.0,16.9,21.8,0.0,0.0,9.6,3.97
2015-02-27,Trans Nzoia (Kitale),25.4,14.8,19.4,0.0,0.0,15.8,2.82
2015-02-28,Trans Nzoia (Kitale),25.4,13.5,20.1,7.7,7.7,9.9,4.19
2015-03-01,Trans Nzoia (Kitale),24.2,14.7,19.2,2.4,2.4,8.9,3.07
2015-03-02,Trans Nzoia (Kitale),24.1,12.1,18.3,0.0,0.0,16.7,3.06
2015-03-03,Trans Nzoia (Kitale),27.2,15.4,20.5,0.0,0.0,13.2,2.91
2015-03-04,Trans Nzoia (Kitale),27.8,16.7,22.3,0.0,0.0,13.7,3.42
2015-03-05,Trans Nzoia (Kitale),26.9,15.0,21.8,0.0,0.0,13.6,4.11
2015-03-06,Trans Nzoia (Kitale),24.6,13.5,19.8,0.0,0.0,10.9,3.94
2015-03-07,Trans Nzoia (Kitale),28.4,17.8,21.9,0.0,0.0,14.4,4.06
2015-03-08,Trans Nzoia (Kitale),25.7,13.9,20.1,0.0,0.0,12.4,3.98
2015-03-09,Trans Nzoia (Kitale),25.1,16.1,21.1,0.0,0.0,12.1,4.71
2015-03-10,Trans Nzoia (Kitale),27.0,16.6,21.7,0.0,0.0,13.9,4.03
2015-03-11,Trans Nzoia (Kitale),25.5,13.8,20.3,2.4,2.4,8.3,3.78
2015-03-12,Trans Nzoia (Kitale),,15.7,19.8,0.0,0.0,10.4,3.86
2015-03-13,Trans Nzoia (Kitale),27.0,14.6,21.5,0.0,0.0,11.1,4.38
2015-03-14,Trans Nzoia (Kitale),26.6,14.7,20.7,0.0,0.0,12.2,3.9
2015-03-15,Trans Nzoia (Kitale),24.8,15.6,20.3,0.0,0.0,14.6,3.65
2015-03-16,Trans Nzoia (Kitale),25.8,17.3,21.6,0.0,0.0,10.3,3.78
2015-03-17,Trans Nzoia (Kitale),26.6,15.3,20.7,0.0,0.0,9.2,4.26
2015-03-18,Trans Nzoia (Kitale),26.7,14.7,21.4,0.0,0.0,11.4,4.29
2015-03-19,Trans Nzoia (Kitale),26.0,13.9,19.9,14.1,14.1,12.0,3.85
2015-03-20,Trans Nzoia (Kitale),28.4,15.3,21.8,2.9,2.9,19.0,4.08
2015-03-21,Trans Nzoia (Kitale),25.4,15.3,20.0,0.0,0.0,7.7,4.18
2015-03-22,Trans Nzoia (Kitale),27.4,15.5,20.6,18.2,18.2,12.0,4.52
2015-03-23,Trans Nzoia (Kitale),25.2,13.3,19.0,0.0,0.0,11.0,3.75
2015-03-24,Trans Nzoia (Kitale),27.9,16.6,22.4,0.0,0.0,10.7,3.97
2015-03-25,Trans Nzoia (Kitale),25.1,15.1,21.2,0.0,0.0,10.1,4.49
2015-03-26,Trans Nzoia (Kitale),25.9,17.5,21.6,0.0,0.0,16.9,3.9
2015-03-27,Trans Nzoia (Kitale),24.1,14.1,19.3,0.0,0.0,8.7,3.44
2015-03-28,Trans Nzoia (Kitale),25.6,15.0,21.3,0.0,0.0,11.6,3.99
2015-03-29,Trans Nzoia (Kitale),26.7,15.9,20.7,21.8,21.8,11.1,3.31
2015-03-30,Trans Nzoia (Kitale),27.6,17.4,22.5,0.0,0.0,12.1,4.48
2015-03-31,Trans Nzoia (Kitale),23.6,13.6,19.5,30.1,30.1,10.5,3.2
2015-04-01,Trans Nzoia (Kitale),27.7,16.9,21.6,26.5,26.5,14.0,3.67
2015-04-02,Trans Nzoia (Kitale),28.6,17.0,22.4,19.6,19.6,22.3,4.83
2015-04-03,Trans Nzoia (Kitale),24.2,13.1,20.0,15.8,15.8,11.9,3.35
2015-04-04,Trans Nzoia (Kitale),28.2,16.5,21.4,0.0,0.0,11.6,4.25
2015-04-05,Trans Nzoia (Kitale),24.8,13.6,20.1,11.0,11.0,10.4,4.74
2015-04-06,Trans Nzoia (Kitale),26.1,17.2,21.4,1.3,1.3,8.2,4.06
2015-04-07,Trans Nzoia (Kitale),27.6,15.1,21.7,0.0,0.0,13.4,3.85
2015-04-08,Trans Nzoia (Kitale),29.1,16.7,22.8,14.9,14.9,12.7,4.36
2015-04-09,Trans Nzoia (Kitale),27.7,16.8,21.5,4.6,4.6,19.7,4.14
2015-04-10,Trans Nzoia (Kitale),26.6,14.9,20.6,0.0,0.0,17.9,3.94
2015-04-11,Trans Nzoia (Kitale),28.7,17.7,22.0,0.0,0.0,13.2,3.98
2015-04-12,Trans Nzoia (Kitale),26.3,15.1,21.4,0.0,0.0,23.6,4.46
2015-04-13,Trans Nzoia (Kitale),26.7,16.6,22.6,4.7,4.7,8.9,4.62
2015-04-14,Trans Nzoia (Kitale),27.4,14.1,20.7,0.0,0.0,17.0,4.58
2015-04-15,Trans Nzoia (Kitale),29.3,17.4,22.9,0.0,0.0,18.7,4.17
2015-04-16,Trans Nzoia (Kitale),27.0,15.8,21.6,6.8,6.8,19.8,4.07
